index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm1,0.0,17.467604549000043,17.464827,7.515000106650405e-06
1,task-5-1,vm2,0.046717,21.619182048999846,21.663128,5.9419999161036685e-06
2,task-8-2,vm2,0.047189,15.58013056899972,15.627297,4.538999746728223e-06
3,task-2-3,vm3,0.04799,0.6229938000001312,0.670961,1.180300023406744e-05
4,task-10-4,vm3,0.048492,14.566855602000032,14.615321,5.820999831485096e-06
5,task-3-5,vm3,0.04896,1.8505988839997372,1.899535,5.220999810262583e-06
6,task-4-6,vm3,0.049613,16.44339854599957,16.492988,6.952999683562666e-06
7,task-4-7,vm4,0.050123,6.150204722999661,6.200308,8.938000064517837e-06
8,task-7-8,vm4,0.050687,14.629118727999867,14.679783,3.9870001273811795e-06
9,task-3-9,vm4,0.051231,11.683234051999989,11.734452,4.458999683265574e-06
10,task-9-10,vm4,0.051804,5.229288679000092,5.281069,4.790000275534112e-06
11,task-1-11,vm4,0.054082,11.679978818999643,11.734035,5.501000032381853e-06
12,task-7-12,vm4,0.054772,17.617434760999913,17.669439,5.740999768022448e-06
13,task-9-13,vm4,0.055207,10.95860502100004,11.013789,3.516000106174033e-06
14,task-1-14,vm4,0.056037,11.062929192999945,11.118938,4.708999767899513e-06
18,task-6-18,vm3,0.671282,20.482516159999705,21.151026,0.6147455989998889
19,task-10-19,vm3,1.899821,30.598481215999982,32.495538,1.8433140639999692
16,task-2-16,vm2,15.627661,7.060632998000074,22.685526,15.571101672999703
15,task-8-15,vm1,17.465623,27.54451931499989,45.010116,17.41171251800006
17,task-5-17,vm2,21.663495,6.858440080000037,28.521923,21.60965820699994
