index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm2,0.0,7.847924096,7.847912,1.3365000000931104e-05
1,task-5-1,vm1,0.087701,10.331675215000004,10.419365,5.129999991027034e-06
2,task-8-2,vm4,0.088082,14.178291912999995,14.266366,3.7469999938366527e-06
3,task-2-3,vm3,0.08851,11.550322257000005,11.638823,0.00014544100000080107
4,task-10-4,vm3,0.088794,11.080634024999995,11.16942,3.026000001682405e-06
5,task-3-5,vm2,0.088977,9.484435817000005,9.573404,2.104000003555484e-06
6,task-4-6,vm4,0.089161,15.115785024999994,15.204938,2.014000003214278e-06
10,task-9-10,vm4,0.08943,5.006871853000007,5.096292,1.9430000008924253e-06
11,task-1-11,vm3,0.089824,18.878289694999992,18.968088,3.907000007075112e-06
12,task-7-12,vm4,0.090069,23.660576222999993,24.429843,2.9560000029960065e-06
13,task-9-13,vm4,0.090258,19.526602707999984,20.29606,2.4149999973133163e-06
15,task-8-15,vm3,0.090414,18.878061645999992,18.968472,1.3930000051232128e-06
17,task-5-17,vm4,0.090607,20.908010030000014,21.677817,1.3519999981781439e-06
19,task-10-19,vm4,0.090818,10.704218906999998,10.795028,1.6329999965591924e-06
8,task-7-8,vm2,7.848021,11.120345324000013,18.968359,7.75861822200001
14,task-1-14,vm2,9.573481,9.578768144999998,17.780317,9.483105160999997
7,task-4-7,vm1,10.419477,6.381920551000007,16.80139,10.330111888999994
18,task-6-18,vm3,11.169517,10.793442599999992,22.64216,11.078716282000002
9,task-3-9,vm1,16.801465,3.6598639069999876,21.14053,16.71207953599999
16,task-2-16,vm2,18.968514,1.0238802149999913,20.671592,18.877943121
